,0
2021-08-02,0.9026629540700001
2021-08-03,0.8921733056700001
2021-08-04,0.9081185400699999
2021-08-05,0.9193390478699999
2021-08-06,0.9388085009699999
2021-08-07,0.9562015087699999
2021-08-08,0.9486246728699999
2021-08-09,0.9742975243699998
2021-08-10,0.9664938134699999
2021-08-11,0.96657986817
2021-08-12,0.9549263915699999
2021-08-13,0.98857670407
2021-08-14,0.98161295407
2021-08-15,0.98111354007
2021-08-16,0.9706883447700001
2021-08-17,0.9575970947700001
2021-08-18,0.95751100097
2021-08-19,0.95751100097
2021-08-20,0.95751100097
2021-08-21,0.95751100097
2021-08-22,0.95751100097
2021-08-23,0.95751100097
2021-08-24,0.95751100097
2021-08-25,0.95751100097
2021-08-26,0.95751100097
2021-08-27,0.95751100097
2021-08-28,0.95751100097
2021-08-29,0.95751100097
2021-08-30,0.95751100097
2021-08-31,0.95751100097
2021-09-01,0.95751100097
2021-09-02,0.95751100097
2021-09-03,0.95751100097
2021-09-04,0.95751100097
2021-09-05,0.95751100097
2021-09-06,0.95751100097
2021-09-07,0.95751100097
2021-09-08,0.95751100097
2021-09-09,0.95751100097
2021-09-10,0.95751100097
2021-09-11,0.95751100097
2021-09-12,0.95751100097
2021-09-13,0.95751100097
2021-09-14,0.95751100097
2021-09-15,0.95751100097
2021-09-16,0.95751100097
2021-09-17,0.95751100097
2021-09-18,0.95751100097
2021-09-19,0.95751100097
2021-09-20,0.95751100097
2021-09-21,0.95751100097
2021-09-22,0.95751100097
2021-09-23,0.95751100097
2021-09-24,0.95751100097
2021-09-25,0.95751100097
2021-09-26,0.95751100097
2021-09-27,0.95751100097
2021-09-28,0.95751100097
2021-09-29,0.95751100097
2021-09-30,0.95751100097
2021-10-01,0.95751100097
2021-10-02,0.95751100097
2021-10-03,0.9627102588700001
2021-10-04,0.9718397509700001
2021-10-05,0.9958588525700001
2021-10-06,1.0343252197700001
2021-10-07,1.0187705713700002
2021-10-08,1.02038920417
2021-10-09,1.03039295417
2021-10-10,1.0284265088700002
2021-10-11,1.0555586181700003
2021-10-12,1.0411213134700001
2021-10-13,1.05472170417
2021-10-14,1.05392596197
2021-10-15,1.0966502197700003
2021-10-16,1.0896325244700003
2021-10-17,1.0962468994700003
2021-10-18,1.1009715088700005
2021-10-19,1.1233306494700002
2021-10-20,1.1406390869700003
2021-10-21,1.1028124463700004
2021-10-22,1.0876333838700003
2021-10-23,1.09464689947
2021-10-24,1.09001908697
2021-10-25,1.08964998537
2021-10-26,1.08964998537
2021-10-27,1.08964998537
2021-10-28,1.08964998537
2021-10-29,1.08964998537
